Date,RF
2021-05-06,5.927070975368005e-05
2021-05-07,5.835487221695386e-05
2021-05-10,5.759135921404079e-05
2021-05-11,6.655239860515748e-05
2021-05-12,8.44305830171496e-05
2021-05-13,0.000197079109319355
2021-05-14,7.516394804769353e-05
2021-05-17,0.00013672324236064582
2021-05-18,7.756447298091662e-05
2021-05-19,0.0001061329894187891
2021-05-20,7.254438118694364e-05
2021-05-21,6.560365599083155e-05
2021-05-24,6.042742526185157e-05
2021-05-25,5.986761212767419e-05
2021-05-26,5.9413923601911573e-05
2021-05-27,5.739180753104935e-05
2021-05-28,5.7177076765614364e-05
2021-06-01,5.7177076765614364e-05
2021-06-02,5.7177076765614364e-05
2021-06-03,5.7177076765614364e-05
2021-06-04,5.7177076765614364e-05
2021-06-07,5.7351573813136384e-05
2021-06-08,5.7834514780881105e-05
2021-06-09,5.7177076765614364e-05
2021-06-10,5.7177076765614364e-05
2021-06-11,5.7177076765614364e-05
2021-06-14,5.7177076765614364e-05
2021-06-15,5.7177076765614364e-05
2021-06-16,5.7177076765614364e-05
2021-06-17,5.7177076765614364e-05
2021-06-18,6.208480043146267e-05
2021-06-21,8.001846626086835e-05
2021-06-22,6.59097340622939e-05
2021-06-23,8.290979190611574e-05
2021-06-24,6.507486176021932e-05
2021-06-25,7.138588869611653e-05
2021-06-28,5.7177076765614364e-05
2021-06-29,5.7177076765614364e-05
2021-06-30,5.7177076765614364e-05
2021-07-01,5.7177076765614364e-05
2021-07-02,5.7177076765614364e-05
2021-07-06,5.7177076765614364e-05
2021-07-07,5.7177076765614364e-05
2021-07-08,5.7177076765614364e-05
2021-07-09,6.09112455527703e-05
2021-07-12,6.106201961935527e-05
2021-07-13,6.70056768612748e-05
2021-07-14,6.0541473909357587e-05
2021-07-15,5.765843278843751e-05
2021-07-16,5.7177076765614364e-05
2021-07-19,6.0179662361689396e-05
2021-07-20,9.59673091479441e-05
2021-07-21,7.799419687157267e-05
2021-07-22,9.622556386756003e-05
2021-07-23,8.364151398904899e-05
2021-07-26,8.282215809413835e-05
2021-07-27,5.9413923601911573e-05
2021-07-28,5.793494743890701e-05
2021-07-29,5.754196838347607e-05
2021-07-30,5.765929066996314e-05
2021-08-02,5.7177076765614364e-05
2021-08-03,5.904351552531728e-05
